"id"	"common_name"	"genes"	"left_end_pos"	"right_end_pos"	"direction"	"evidence"	"_comments"
"rplKAJL"	"rplKAJL"	["EG10873", "EG10871", "EG10864", "EG10872"]			"+"	["EV-DEEP-CURATION"]	"Suggested by the existence of 3'-end peak after rplL in R-end sequencing data (Lalanne et al., 2018)"
"rplJL"	"rplJL"	["EG10871", "EG10873"]			"+"	["EV-DEEP-CURATION"]	"Suggested by the existence of 3'-end peak after rplL in R-end sequencing data (Lalanne et al., 2018)"
"rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO"	"rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO"	["EG10875", "EG10884", "EG10868", "EG10913", "EG10907", "EG10869", "EG10879", "EG10904", "EG10888", "EG10876"]			"-"	["EV-DEEP-CURATION"]	"Suggested by the existence of 3'-end peak after rplO in R-end sequencing data (Lalanne et al., 2018)"
"rpmJ"	"rpmJ"	["EG11232"]			"-"	["EV-DEEP-CURATION"]	"Suggested by the existence of 5'-end peak before rpmJ in R-end sequencing data (Lalanne et al., 2018)"
"tufA"	"tufA"	["EG11036"]			"-"	["EV-DEEP-CURATION"]	"Suggested by the existence of 5'-end peak before tufA in R-end sequencing data (Lalanne et al., 2018)"
"gatYZABC"	"gatYZABC"	["EG12419", "G7128", "EG12414", "EG12415", "EG12416"]			"-"	["EV-DEEP-CURATION"]	"Suggested by the existence of 3'-end peak after gatC in R-end sequencing data (Lalanne et al., 2018)"
"gatZABC"	"gatZABC"	["G7128", "EG12414", "EG12415", "EG12416"]			"-"	["EV-DEEP-CURATION"]	"Suggested by the existence of 5'-end peak before gatZ and 3'-end peak after gatC in R-end sequencing data (Lalanne et al., 2018)"
"rpmH"	"rpmH"	["EG10892"]			"+"	["EV-DEEP-CURATION"]	"Suggested by the existence of 3'-end peak after rpmH in R-end sequencing data (Lalanne et al., 2018)"
"ahpC"	"ahpC"	["EG11384"]			"+"	["EV-DEEP-CURATION"]	"Suggested by the existence of 3'-end peak after ahpC in R-end sequencing data (Lalanne et al., 2018)"
"rpsA"	"rpsA"	["EG10900"]			"+"	["EV-DEEP-CURATION"]	"Suggested by the existence of 5'-end and 3'-end peaks before and after rpsA in R-end sequencing data (Lalanne et al., 2018)"
"rpmF"	"rpmF"	["EG10890"]			"+"	["EV-DEEP-CURATION"]	"Suggested by the existence of 5'-end and 3'-end peaks before and after rpmF in R-end sequencing data (Lalanne et al., 2018)"
